index,PC1,PC2,feeds,species
0,0.5,0.8,Crustacea,Epinephelus
1,0.3,0.9,Mosquito larvae,Sebastiscus
2,0.95,0.83,Mosquito larvae,Sebastiscus
3,0.92,1.98,Mosquito larvae,Sebastiscus
4,2.01,1.4,Crustacea,Sebastiscus
5,2.15,1.25,Crustacea, Sebastiscus
6,2.19,1.01,Aquaculture feed,Sebastiscus
7,2.35,0.21,Mosquito larvae,Sebastes
8,2.48,0.87,Crustacea,Sebastes
9,2.53,0.98,Crustacea,Sebastes
10,2.85,1.5,Polychaeta,Sebastes
11,2.93,2.39,Aquaculture feed,Sebastes
12,3.05,3.05,Mosquito larvae,Acanthogobius
13,3.38,3.08,Mosquito larvae,Acanthogobius
14,4.05,2.09,Mosquito larvae,Acanthogobius
15,4.18,2.89,Crustacea,Acanthogobius
16,4.23,1.95,Crustacea,Acanthogobius
17,5.03,1.98,Polychaeta,Acanthogobius
18,5.32,2.05,Aquaculture feed,Acanthogobius
